mountain_name,district,신고년월일,신고년,신고월,신고일,신고요일,신고시각,신고시,신고분,발생장소_시,발생장소_구,발생장소_동,발생장소_리,현장과의거리,관할구분코드명,사고원인코드명_사고종별,x_4326,y_4326,elevation,slope,STN,WD,WS,GST,GST.1,GST.2,PA,PS,PT,PR,TA,TD,HM,PV,RN,RN.1,RN.2,RN.3,SD,SD.1,SD.2,WC,WP,WW,CA,CA.1,CH,CT,CT.1,CT.2,CT.3,VS,SS,SI,ST,TS,TE,TE.1,TE.2,TE.3,ST.1,WH,BF,IR,IX
가야산,경북,9/9/2014,2014,9,9,화,오후 3:05:00,15,5,경상북도,성주군,수륜면,백운리,14,관할,개인(급.만성)질환,128.1036716,35.85622263,402.5,125,284,20,2.5,-9,-9,-9,980.6,1005.7,7,-1,27.6,17.1,53,19.5,-9,-9,-9,-9,-9,-9,-9,-9,-9,-,8,4,38,AcCi,1,3,0,1200,0.5,-9,0,40.6,-99,-99,-99,-99,-9,-9,-9,3,2
가야산,경북,10/26/2014,2014,10,26,일,오후 1:26:00,13,26,경상북도,성주군,수륜면,백운리,15,관할,산악기타,128.1237739,35.82203686,1324.74026,265,284,34,0.7,-9,-9,-9,990.1,1015.9,-9,-9,21.9,8,41,10.7,-9,-9,-9,-9,-9,-9,-9,-9,-9,-,0,0,-9,-,-9,-9,-9,2000,1,-9,-9,30.3,-99,-99,-99,-99,-9,-9,-9,3,2
가야산,경북,9/18/2011,2011,9,18,일,오후 2:11:00,14,11,경상북도,성주군,수륜면,백운리,18,관할,산악기타,128.1423376,35.80296021,595,240,284,36,3,-9,-9,-9,982.2,1006.7,-9,-9,27.9,20.1,63,23.5,-9,-9,-9,-9,-9,-9,-9,-9,-9,-,7,7,8,Sc,0,0,5,2000,0.3,-9,-9,40.7,-99,-99,-99,-99,-9,-9,-9,3,2
가야산,경북,1/7/2012,2012,1,7,토,오후 12:15:00,12,15,경상북도,성주군,수륜면,백운리,15,관할,산악기타,128.1427779,35.80171729,491.1363636,90,284,2,0.7,-9,-9,-9,1005.8,1033.9,7,-2.2,-0.5,-11.5,43,2.5,-9,-9,-9,-9,-9,-9,-9,-9,-9,-,0,0,-9,-,-9,-9,-9,1500,1,-9,-9,8.7,-99,-99,-99,-99,-9,-9,-9,3,2
가야산,경북,10/6/2012,2012,10,6,토,오후 1:48:00,13,48,경상북도,성주군,수륜면,백운리,16,관할,개인(급.만성)질환,128.1417693,35.80025875,580.2941176,160,284,36,1.7,-9,-9,-9,992,1017.2,-9,-9,22.6,7.5,38,10.4,-9,-9,-9,-9,-9,-9,-9,-9,-9,-,8,0,-9,Ci,2,0,0,2000,0.8,-9,-9,32.6,-99,-99,-99,-99,-9,-9,-9,3,2
가야산,경북,2/25/2018,2018,2,25,일,오후 2:29:00,14,29,경상북도,성주군,가천면,법전리,8,관할,기타산악,128.123267,35.82235,1324.74026,265,284,34,0.9,-9,-9,-9,992.9,1020.2,-9,-9,9.9,-1.2,46,5.6,-9,-9,-9,-9,-9,-9,-9,-9,-9,-,-9,-9,-9,-,-9,-9,-9,660,0.3,-9,-9,14.6,-99,-99,-99,-99,-9,-9,-9,3,-9
가야산,경북,5/8/2013,2013,5,8,수,오후 1:52:00,13,52,경상북도,김천시,증산면,증산면,15,관할,산악기타,128.1205855,35.82442455,1324.74026,265,284,14,3,-9,-9,-9,992.3,1017.9,-9,-9,24.1,5.9,31,9.3,-9,-9,-9,-9,-9,-9,-9,-9,-9,-,0,0,-9,-,-9,-9,-9,1800,1,-9,-9,46.1,-99,-99,-99,-99,-9,-9,-9,3,2
가야산,경북,10/26/2012,2012,10,26,금,오후 2:49:00,14,49,경상북도,성주군,수륜면,백운리,15,관할,산악기타,128.1234526,35.81453409,1089.270833,155,284,11,2.2,-9,-9,-9,994.3,1019.8,-9,-9,20.7,6.2,39,9.5,-9,-9,-9,-9,-9,-9,-9,-9,-9,-,0,0,-9,-,-9,-9,-9,2300,1,-9,-9,29.7,-99,-99,-99,-99,-9,-9,-9,3,2
가야산,경북,1/1/2016,2016,1,1,금,오후 5:28:00,17,28,경상북도,성주군,수륜면,백운리,14.3,,일반조난,128.1425919,35.80254526,491.1363636,90,284,18,2.2,-9,-9,-9,1000.1,1028,-9,-9,5.4,-3.6,52,4.7,-9,-9,-9,-9,-9,-9,-9,-9,-9,-,-9,-9,-9,-,-9,-9,-9,1700,0.8,-9,-9,0.8,-99,-99,-99,-99,-9,-9,-9,3,-9
가야산,경북,5/14/2021,2021,5,14,금,오후 2:15:00,14,15,경상북도,성주군,수륜면,백운리,14,관할,기타산악,128.13445,35.80611,778.7704918,285,284,14,4.1,-9,-9,-9,984.6,1010.1,-9,-9,27.6,14.5,45,16.5,-9,-9,-9,-9,-9,-9,-9,-9,-9,-,8,0,-9,-,-9,-9,-9,2000,1,-9,-9,38.5,-99,-99,-99,-99,-9,-9,-9,3,-9
가야산,경북,11/2/2019,2019,11,2,토,오후 2:05:00,14,5,경상북도,성주군,수륜면,백운리,10,관할,기타산악,128.135133,35.807329,778.7704918,285,284,0,0.2,-9,-9,-9,992.4,1018.6,-9,-9,18.1,10.4,61,12.6,-9,-9,-9,-9,-9,-9,-9,-9,-9,-,8,1,63,-,-9,-9,-9,1358,0.3,-9,-9,21.4,-99,-99,-99,-99,-9,-9,-9,3,-9
가야산,경북,12/15/2018,2018,12,15,토,오후 2:47:00,14,47,경상북도,성주군,수륜면,백운리,12,관할,기타산악,128.141763,35.80425,634.2682927,195,284,9,0.7,-9,-9,-9,1001.4,1029.2,-9,-9,6.5,-16.1,18,1.7,-9,-9,-9,-9,-9,-9,-9,-9,-9,-,0,0,-9,-,-9,-9,-9,2000,1,-9,-9,3.9,-99,-99,-99,-99,-9,-9,-9,3,-9
가야산,경북,8/1/2012,2012,8,1,수,오전 4:19:00,4,19,경상북도,성주군,수륜면,백운리,13,관할,실족추락,128.141269,35.80293445,634.2682927,195,284,0,0.2,-9,-9,-9,981.8,1006.6,-9,-9,23.4,23.2,99,28.4,-9,-9,-9,-9,-9,-9,-9,10,11,19,3,0,-9,Ci,1,0,0,500,-9,-9,-9,25.5,-99,-99,-99,-99,-9,-9,-9,3,1
가야산,경북,1/14/2019,2019,1,14,월,오후 7:05:00,19,5,경상북도,성주군,수륜면,백운리,12,관할,개인질환,128.1615053,35.81029433,387.1428571,90,284,29,1.1,-9,-9,-9,995.3,1023.2,-9,-9,4,-5.5,50,4.1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-,6,1,62,-,-9,-9,-9,1042,-9,-9,-9,0.4,-99,-99,-99,-99,-9,-9,-9,3,-9
가야산,경북,9/14/2014,2014,9,14,일,오후 3:18:00,15,18,경상북도,성주군,수륜면,백운리,15,관할,개인(급.만성)질환,128.137456,35.82217221,1167.181818,215,284,18,2.1,-9,-9,-9,987.9,1013.5,7,-1.9,24.6,11.8,45,13.8,-9,-9,-9,-9,-9,-9,-9,-9,-9,-,8,3,10,ScAcCi,1,3,5,2300,1,-9,0,40.3,-99,-99,-99,-99,-9,-9,-9,3,2
가야산,경북,10/1/2019,2019,10,1,화,오후 1:44:00,13,44,경상북도,성주군,수륜면,백운리,12,관할,일반조난,128.1425752,35.80470444,595,240,284,0,0.1,-9,-9,-9,992.2,1018.1,-9,-9,21.9,20.3,91,23.8,-9,6.9,6.9,-9,-9,-9,-9,-9,-9,-,10,0,-9,-,-9,-9,-9,1944,0,-9,-9,23.8,-99,-99,-99,-99,-9,-9,-9,3,-9
가야산,경북,10/5/2017,2017,10,5,목,오전 11:31:00,11,31,경상북도,성주군,수륜면,백운리,20,관할,기타산악,128.1431728,35.79618182,461.8181818,100,284,23,0.7,-9,-9,-9,997.5,1023.9,-9,-9,18,12.2,69,14.2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-,-9,-9,-9,-,-9,-9,-9,2000,0,-9,-9,21.6,-99,-99,-99,-99,-9,-9,-9,3,-9
가야산,경북,1/12/2014,2014,1,12,일,오후 2:47:00,14,47,경상북도,성주군,수륜면,백운리,15,관할,산악기타,128.1417477,35.80386631,634.2682927,195,284,27,4.1,-9,-9,-9,997.4,1025.3,-9,-9,4.8,-9,36,3.1,-9,-9,-9,-9,-9,-9,-9,5,22,40,6,3,10,ScCi,1,0,5,900,1,-9,-9,8.4,-99,-99,-99,-99,-9,-9,-9,3,1
가야산,경북,11/15/2020,2020,11,15,일,오후 4:09:00,16,9,경상북도,성주군,수륜면,백운리,16,관할,기타산악,128.1222,35.81483,1089.270833,155,284,0,0.4,-9,-9,-9,997.7,1024.3,-9,-9,18.4,6.2,45,9.5,-9,-9,-9,-9,-9,-9,-9,-9,-9,-,0,0,-9,-,-9,-9,-9,1659,1,-9,-9,17,-99,-99,-99,-99,-9,-9,-9,3,-9
가야산,경북,7/11/2021,2021,7,11,일,오후 12:26:00,12,26,경상북도,성주군,수륜면,백운리,21,,실족추락,128.136485,35.81352,827.5,225,284,25,1.2,-9,-9,-9,985.6,1010.9,5,-1.2,28.9,21.9,66,26.3,-9,-9,-9,-9,-9,-9,-9,-9,-9,-,8,8,14,-,-9,-9,-9,2000,0.5,-9,-9,34.6,-99,-99,-99,-99,-9,-9,-9,3,-9
가야산,경북,9/29/2013,2013,9,29,일,오후 12:10:00,12,10,경상북도,성주군,수륜면,백운리,1,관할,산악기타,128.1463927,35.79833221,461.8181818,100,284,14,1.2,-9,-9,-9,989.3,1015.5,5,-0.1,17.7,16.8,95,19.1,10,31,31,-9,-9,-9,-9,63,66,1901,10,7,8,StNs,-9,2,7,600,0,-9,-9,19.6,-99,-99,-99,-99,-9,-9,-9,4,1
가야산,경북,8/4/2015,2015,8,4,화,오전 11:36:00,11,36,경상북도,성주군,수륜면,백운리,15,,개인(급.만성)질환,128.1463156,35.80174874,491.1363636,90,284,18,3.5,-9,-9,-9,982.6,1007.6,-9,-9,30.3,21.1,58,25,-9,-9,-9,-9,-9,-9,-9,-9,-9,-,-9,-9,-9,-,-9,-9,-9,2000,1,-9,-9,52.4,-99,-99,-99,-99,-9,-9,-9,3,-9
가야산,경북,5/3/2014,2014,5,3,토,오후 2:09:00,14,9,경상북도,성주군,수륜면,백운리,15,관할,산악기타,128.1420163,35.80523218,634.2682927,195,284,34,2.3,-9,-9,-9,991,1017,-9,-9,20.8,-5.1,17,4.2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-,0,0,-9,-,-9,-9,-9,2300,1,-9,-9,41.9,-99,-99,-99,-99,-9,-9,-9,3,2
가야산,경북,5/31/2015,2015,5,31,일,오전 10:20:00,10,20,경상북도,성주군,수륜면,백운리,15,,개인(급.만성)질환,128.1424635,35.80257893,491.1363636,90,284,20,1.1,-9,-9,-9,982.3,1007.9,-9,-9,21.9,11.5,52,13.6,-9,-9,-9,-9,-9,-9,-9,-9,-9,-,-9,-9,-9,-,-9,-9,-9,2000,1,-9,-9,39.3,-99,-99,-99,-99,-9,-9,-9,3,-9
가야산,경북,12/25/2012,2012,12,25,화,오후 3:04:00,15,4,경상북도,성주군,수륜면,백운리,18,관할,산악기타,128.1541595,35.80388635,466.6666667,95,284,34,6.5,34,10,1229,998.2,1026.1,3,0.1,-0.5,-14.1,35,2.1,-9,0.1,0.1,-9,-9,-9,4.2,-9,-9,-,0,0,-9,-,-9,-9,-9,2300,1,-9,13,-0.2,-99,-99,-99,-99,-9,-9,-9,3,2
가야산,경북,10/28/2020,2020,10,28,수,오후 5:37:00,17,37,경상북도,성주군,수륜면,백운리,13,관할,탈진·탈수,128.1313497,35.81218546,978.0769231,240,284,29,1.4,-9,-9,-9,993.1,1019.7,-9,-9,17.9,3.3,38,7.7,-9,-9,-9,-9,-9,-9,-9,-9,-9,-,0,0,-9,-,-9,-9,-9,1689,1,-9,-9,17.8,-99,-99,-99,-99,-9,-9,-9,3,-9
가야산,경북,8/14/2016,2016,8,14,일,오후 7:46:00,19,46,경상북도,성주군,수륜면,백운리,14,관할,일반조난,128.1419622,35.80404743,634.2682927,195,284,32,1.4,-9,-9,-9,976.6,1001.4,-9,-9,30.2,23.6,68,29.1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-,-9,-9,-9,-,-9,-9,-9,1932,0.1,-9,-9,32.2,-99,-99,-99,-99,-9,-9,-9,3,-9
가야산,경북,9/14/2014,2014,9,14,일,오후 1:10:00,13,10,경상북도,성주군,수륜면,백운리,15,관할,산악기타,128.1407219,35.8058964,634.2682927,195,284,34,1.7,-9,-9,-9,989.2,1014.9,-9,-9,24.5,13,49,15,-9,-9,-9,-9,-9,-9,-9,-9,-9,-,8,5,10,ScAcCi,1,3,5,2300,0.9,-9,-9,46.7,-99,-99,-99,-99,-9,-9,-9,3,2
